uuid	gene_curie	gene_symbol	disease_curie	disease_title	disease_original_curie	disease_original_title	classification_curie	classification_title	moi_curie	moi_title	submitter_curie	submitter_title	submitted_as_hgnc_id	submitted_as_hgnc_symbol	submitted_as_disease_id	submitted_as_disease_name	submitted_as_moi_id	submitted_as_moi_name	submitted_as_submitter_id	submitted_as_submitter_name	submitted_as_classification_id	submitted_as_classification_name	submitted_as_date	submitted_as_public_report_url	submitted_as_notes	submitted_as_pmids	submitted_as_assertion_criteria_url	submitted_as_submission_id	submitted_run_date
GENCC_000101-HGNC_16636-OMIM_171300-HP_0000006-GENCC_100003	HGNC:16636	KIF1B	MONDO:0008233	pheochromocytoma	OMIM:171300	{Pheochromocytoma, susceptibility to}	GENCC:100003	Moderate	HP:0000006	Autosomal dominant	GENCC:000101	Ambry Genetics	HGNC:16636	KIF1B	OMIM:171300	Pheochromocytoma	HP:0000006	Autosomal dominant inheritance	GENCC:000101	Ambry Genetics	GENCC:100003	Moderate	2019-12-04 13:30:43	-	-	-	PMID: 28106320	69237	2020-12-24
GENCC_000104-HGNC_6840-MONDO_0007893-HP_0000006-GENCC_100002	HGNC:6840	MAP2K1	MONDO:0007893	Noonan syndrome with multiple lentigines	MONDO:0007893	Noonan syndrome with multiple lentigines	GENCC:100002	Strong	HP:0000006	Autosomal dominant	GENCC:000104	Genomics England PanelApp	HGNC:6840	MAP2K1	MONDO:0007893	Noonan syndrome with multiple lentigines	HP:0000006	Autosomal dominant inheritance	GENCC:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-10-07 20:04:15	https://panelapp.genomicsengland.co.uk/panels/48/	-	21396583, 23321623	-	000104.pa48.v1.73.hgnc6840.m1.p2	2020-10-08
GENCC_000105-HGNC_16466-MONDO_0007187-HP_0000006-GENCC_100001	HGNC:16466	SUFU	MONDO:0007187	nevoid basal cell carcinoma syndrome	MONDO:0007187	nevoid basal cell carcinoma syndrome	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000105	Illumina	HGNC:16466	SUFU	MONDO:0007187	nevoid basal cell carcinoma syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000105	Illumina	GENCC:100001	Definitive	2020-09-08 00:00:00	-	The SUFU gene is located on chromosome 10 at 10q24.32 and encodes the suppressor of fused homolog protein, which is a negative regulator for the hedgehog/smoothened signaling pathway. The SUFU gene was first reported in relation to Gorlin syndrome (known as nevoid basal cell carcinoma syndrome) and atypical Gorlin syndrome, in 2009 (19533801; Pastorino et al. 2009). Evidence supporting this gene-disease relationship includes case-level data and experimental data. From a selection of literature, at least seven variants have been reported in a heterozygous state in eight affected individuals in six publications (19533801: Pastorino et al. 2009; 22829011: Kijima et al. 2012; 25403219: Smith et al. 2014; 29892665: Ogden et al. 2018; 29356994: Huq et al. 2018; 31485359: Askaner et al. 2019). The mechanism for disease is loss of function. Experimental evidence demonstrates that a splice donor variant was unable to interact with GLI transcription factors, resulting in activation of SHH pathway target genes (12068298: Taylor et al. 2002; 16459298: Svard et al. 2006). In a mouse model, in which mice were heterozygous for functional Sufu, a skin phenotype similar to Gorlin syndrome was observed (16459298: Svard et al. 2006). In summary, SUFU is definitively associated with autosomal dominant nevoid basal cell carcinoma syndrome.	19533801, 22829011, 25403219, 29892665, 29356994, 31485359, 12068298, 16459298	https://www.clinicalgenome.org/site/assets/files/3975/gene-disease_validity_standard_operating_procedures_version_7-1.pdf	100007	2020-10-15
GENCC_000105-HGNC_7882-MONDO_0007318-HP_0000006-GENCC_100003	HGNC:7882	NOTCH2	MONDO:0007318	Alagille syndrome	MONDO:0007318	Alagille syndrome	GENCC:100003	Moderate	HP:0000006	Autosomal dominant	GENCC:000105	Illumina	HGNC:7882	NOTCH2	MONDO:0007318	Alagille syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000105	Illumina	GENCC:100003	 Moderate	2019-05-19 00:00:00	-	The NOTCH2 gene is located on chromosome 1 at 1p12 and encodes the notch receptor 2 protein, a single transmembrane domain protein integral to the conserved notch signalling pathway. Notch signalling occurs via cell to cell communication and is involved in determining the cellular fate of diverse cell types, which in turn regulates the homeostatsis of many tissue types. NOTCH2 was first reported in relation to autosomal dominant Alagille syndrome in 2006 (16773578; McDaniell et al. 2006). At least eight unique variants, including seven missense variants and one stop gained variant have been reported. Evidence supporting this gene-disease relationship includes case-level data, and experimental data. Variants in this gene have been reported in at least eight probands in three publications (16773578: McDaniell et al. 2006; 22209762: Kamath et al. 2012; 22488849; Lin et al. 2012). Variants in two cases occurred de novo. Mechanism of disease unclear, where variant level functional data is available, missense variants disrupted the Notch signalling pathway (NSP). This gene-disease relationship is supported by functional and animal model experimental data. The NOTCH1 ligand, JAG1 is associated with autosomal dominant Alagille syndrome (28794168: Siebel et al. 2017). NOTCH 2 is expressed in tissues consistent with the disease phenotype and is localised to cells adjacent to those expressing JAG1 (11171333: McCright et al. 2001) . Mice expressing a hypomorphic Notch2 allele recapitulate some features of Alagille syndrome, as do mice which a heterozygous for both the Notch2 hypomorphic allele and a JAG1 null allele (11171333: McCright et al. 2001; 11861489: McCright et al. 2002). In summary, there is moderate evidence to support this gene-disease relationship. While more evidence is needed to establish this relationship definitively, no convincing contradictory evidence has emerged.	16773578, 22209762, 22488849, 11861489, 28794168, 11171333	https://clinicalgenome.org/site/assets/files/2165/gene_curation_sop_version_6_aug_2018_final.pdf	100016	2020-10-15
GENCC_000105-HGNC_12766-OMIM_194190-HP_0000006-GENCC_100001	HGNC:12766	NSD2	MONDO:0008684	Wolf-Hirschhorn syndrome	OMIM:194190	Wolf-Hirschhorn syndrome	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000105	Illumina	HGNC:12766	NSD2	OMIM:194190	NSD2-related Wolf-Hirschhorn syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000105	Illumina	GENCC:100001	Definitive	2020-04-16 00:00:00	-	NSD2 was first reported in relation to autosomal dominant NSD2-Wolf-Hirschhorn syndrome in 2017 (28600779: Monies et al. 2017). At least six unique de novo, loss-of -function variants have been reported in the literature.  Evidence supporting this gene-disease relationship includes case-level data and experimental data. Variants in this gene have been reported in at least six probands from three publications (29892088: Derar et al. 2018; 29760529: Lozier et al. 2018; 31171569: Barrie et al. 2019). More evidence is available in the literature, but the maximum score for genetic evidence (12 pts.) has been reached. The mechanism for disease is loss of function (31171569: Barrie et al. 2019). This gene-disease relationship is supported by expression studies, which show that fetal brain contained the most complex pattern of transcripts and is expressed in mouse brain, ganglia, neural tube, jaw, frontal face region, intestinal and lung epithelium, liver, adrenals, and the urogenital system (9618163: Stec et al. 1998). In addition, Whsc1-deficient heterozygote mice present with severe growth and craniofacial defects (19483677: Nimura et al. 2009). In summary, NSD2 is definitively associated with autosomal dominant NSD2-Wolf-Hirschhorn syndrome.	29892088, 29760529, 31171569, 9618163, 19483677	https://www.clinicalgenome.org/site/assets/files/3975/gene-disease_validity_standard_operating_procedures_version_7-1.pdf	100043	2020-10-15
GENCC_000105-HGNC_1850-MONDO_0020705-HP_0000006-GENCC_100003	HGNC:1850	CELSR1	MONDO:0020705	neural tube defects, susceptibility to	MONDO:0020705	neural tube defects, susceptibility to	GENCC:100003	Moderate	HP:0000006	Autosomal dominant	GENCC:000105	Illumina	HGNC:1850	CELSR1	MONDO:0020705	Neural tube defects, susceptibility to	HP:0000006	Autosomal dominant inheritance	GENCC:000105	Illumina	GENCC:100003	Moderate	2017-04-25 00:00:00	-	-	22095531, 22371354, 22632972, 24632739, 25128525, 27756857, 12842012, 22371354, 20223754	https://thegencc.org/docs/ICSL-Assertion-Criteria-for-Gene-Curation.pdf	100151	2020-10-15
GENCC_000106-HGNC_10719-OMIM_181500-HP_0000005-GENCC_100008	HGNC:10719	SELENBP1	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:10719	SELENBP1	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-05-25 20:04:32	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/5	SELENBP10Schizop	2020-12-04
GENCC_000106-HGNC_10854-OMIM_181500-HP_0000005-GENCC_100008	HGNC:10854	SHOX2	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:10854	SHOX2	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-11-20 20:04:33	-	-	-	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/7	SHOX20Schizop	2020-12-04
GENCC_000106-HGNC_10911-OMIM_181500-HP_0000005-GENCC_100008	HGNC:10911	SLC12A2	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:10911	SLC12A2	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2019-06-03 20:04:33	-	-	26955005, 26955005	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/8	SLC12A20Schizop	2020-12-04
GENCC_000106-HGNC_10935-OMIM_181500-HP_0000005-GENCC_100008	HGNC:10935	SLC18A2	MONDO:0005090	schizophrenia	OMIM:181500	{Schizophrenia}	GENCC:100008	No Known Disease Relationship	HP:0000005	Unknown	GENCC:000106	Invitae	HGNC:10935	SLC18A2	OMIM:181500	{Schizophrenia}	HP:0000005	-	GENCC:000106	INVITAE	GENCC:100008	No Known Disease Relationship	2017-09-06 20:04:33	-	-	23911319	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/10	SLC18A20Schizop	2020-12-04
