MONDO:0000141 {'OMIM:257300'}
MONDO:0000170 {'OMIM:300345'}
MONDO:0000179 {'OMIM:256520'}
MONDO:0000200 {'OMIM:135500'}
MONDO:0000208 {'OMIM:616033'}
MONDO:0000212 {'OMIM:143880'}
MONDO:0000355 {'OMIM:254090'}
MONDO:0000453 {'OMIM:609620'}
MONDO:0000463 {'OMIM:236730'}
MONDO:0000501 {'OMIM:311150'}
MONDO:0000700 {'OMIM:141500'}
MONDO:0000736 {'OMIM:127500'}
MONDO:0000863 {'OMIM:600462'}
MONDO:0000902 {'OMIM:218000'}
MONDO:0000903 {'OMIM:159900'}
MONDO:0000908 {'OMIM:615616'}
MONDO:0000909 {'OMIM:613090'}
MONDO:0000910 {'OMIM:312612'}
MONDO:0000911 {'OMIM:613740'}
MONDO:0000912 {'OMIM:600792'}
MONDO:0000913 {'OMIM:616649'}
MONDO:0000914 {'OMIM:125310'}
MONDO:0001046 {'OMIM:301800', 'OMIM:207500'}
MONDO:0001056 {'OMIM:613659'}
MONDO:0001187 {'OMIM:109800'}
MONDO:0001595 {'OMIM:118700'}
MONDO:0002009 {'OMIM:608516'}
MONDO:0002244 {'OMIM:227500'}
MONDO:0002422 {'OMIM:102660'}
MONDO:0002441 {'OMIM:220400'}
MONDO:0002457 {'OMIM:154500'}
MONDO:0002629 {'OMIM:259500'}
MONDO:0002697 {'OMIM:424500'}
MONDO:0002974 {'OMIM:603956'}
MONDO:0003789 {'OMIM:605074'}
MONDO:0004129 {'OMIM:105580'}
MONDO:0004573 {'OMIM:615026'}
MONDO:0004743 {'OMIM:603174'}
MONDO:0004914 {'OMIM:116870'}
MONDO:0004933 {'OMIM:241550'}
MONDO:0004948 {'OMIM:151400'}
MONDO:0004951 {'OMIM:609423'}
MONDO:0004975 {'OMIM:104300'}
MONDO:0005002 {'OMIM:606963'}
MONDO:0005090 {'OMIM:181500'}
MONDO:0005136 {'OMIM:611162'}
MONDO:0005147 {'OMIM:222100'}
MONDO:0005148 {'OMIM:125853'}
MONDO:0005260 {'OMIM:209850'}
MONDO:0005298 {'OMIM:166710'}
MONDO:0005338 {'OMIM:137760'}
MONDO:0005575 {'OMIM:114500'}
MONDO:0005579 {'OMIM:600669'}
MONDO:0006065 {'OMIM:223100'}
MONDO:0006277 {'OMIM:606690'}
MONDO:0006292 {'OMIM:156240'}
MONDO:0006486 {'OMIM:155720'}
MONDO:0006507 {'OMIM:235200'}
MONDO:0006761 {'OMIM:135580'}
MONDO:0006778 {'OMIM:234300'}
MONDO:0007030 {'OMIM:100050'}
MONDO:0007031 {'OMIM:100070'}
MONDO:0007032 {'OMIM:100100'}
MONDO:0007033 {'OMIM:100200'}
MONDO:0007034 {'OMIM:100300'}
MONDO:0007035 {'OMIM:100600'}
MONDO:0007036 {'OMIM:100700'}
MONDO:0007037 {'OMIM:100800'}
MONDO:0007038 {'OMIM:100820'}
MONDO:0007039 {'OMIM:101000'}
MONDO:0007040 {'OMIM:101120'}
MONDO:0007041 {'OMIM:101200'}
MONDO:0007042 {'OMIM:101400'}
MONDO:0007043 {'OMIM:101600'}
MONDO:0007044 {'OMIM:101800'}
MONDO:0007045 {'OMIM:101805'}
MONDO:0007046 {'OMIM:101840'}
MONDO:0007047 {'OMIM:101850'}
MONDO:0007048 {'OMIM:101900'}
MONDO:0007049 {'OMIM:102000'}
MONDO:0007050 {'OMIM:102100'}
MONDO:0007051 {'OMIM:102150'}
MONDO:0007052 {'OMIM:102200'}
MONDO:0007053 {'OMIM:102300'}
MONDO:0007054 {'OMIM:102350'}
MONDO:0007055 {'OMIM:102370'}
MONDO:0007056 {'OMIM:102400'}
MONDO:0007057 {'OMIM:102500'}
MONDO:0007058 {'OMIM:102510'}
MONDO:0007059 {'OMIM:102520'}
MONDO:0007060 {'OMIM:102530'}
MONDO:0007061 {'OMIM:102590'}
MONDO:0007062 {'OMIM:102650'}
MONDO:0007064 {'OMIM:102700'}
MONDO:0007066 {'OMIM:102800'}
MONDO:0007067 {'OMIM:102900'}
MONDO:0007068 {'OMIM:103050'}
MONDO:0007070 {'OMIM:103200'}
MONDO:0007071 {'OMIM:103230'}
MONDO:0007072 {'OMIM:103285'}
MONDO:0007073 {'OMIM:103300'}
MONDO:0007074 {'OMIM:103400'}
MONDO:0007075 {'OMIM:103420'}
MONDO:0007077 {'OMIM:103500'}
MONDO:0007078 {'OMIM:103580'}
MONDO:0007079 {'OMIM:103780'}
MONDO:0007080 {'OMIM:103900'}
MONDO:0007082 {'OMIM:104000'}
MONDO:0007083 {'OMIM:104100'}
MONDO:0007084 {'OMIM:104110'}
MONDO:0007085 {'OMIM:104130'}
MONDO:0007086 {'OMIM:104200'}
MONDO:0007087 {'OMIM:104290'}
MONDO:0007088 {'OMIM:104300'}
MONDO:0007089 {'OMIM:104310'}
MONDO:0007090 {'OMIM:104350'}
MONDO:0007091 {'OMIM:104400'}
MONDO:0007092 {'OMIM:104500'}
MONDO:0007093 {'OMIM:104510'}
MONDO:0007094 {'OMIM:104530'}
MONDO:0007095 {'OMIM:104570'}
MONDO:0007096 {'OMIM:104600'}
MONDO:0007097 {'OMIM:105120'}
MONDO:0007098 {'OMIM:105150'}
MONDO:0007099 {'OMIM:105200'}
MONDO:0007100 {'OMIM:105210'}
MONDO:0007101 {'OMIM:105250'}
MONDO:0007102 {'OMIM:105300'}
MONDO:0007103 {'OMIM:105400'}
MONDO:0007104 {'OMIM:105500'}
MONDO:0007105 {'OMIM:105550'}
MONDO:0007106 {'OMIM:105563'}
MONDO:0007107 {'OMIM:105565'}
MONDO:0007108 {'OMIM:105580'}
MONDO:0007109 {'OMIM:105600'}
MONDO:0007110 {'OMIM:105650'}
MONDO:0007111 {'OMIM:105800'}
MONDO:0007112 {'OMIM:105805'}
MONDO:0007113 {'OMIM:105830'}
MONDO:0007114 {'OMIM:105835'}
MONDO:0007115 {'OMIM:106050'}
MONDO:0007116 {'OMIM:106070'}
MONDO:0007118 {'OMIM:106190'}
MONDO:0007119 {'OMIM:106210'}
MONDO:0007120 {'OMIM:106220'}
MONDO:0007121 {'OMIM:106230'}
MONDO:0007122 {'OMIM:106240'}
MONDO:0007123 {'OMIM:106250'}
MONDO:0007124 {'OMIM:106260'}
MONDO:0007125 {'OMIM:106280'}
MONDO:0007126 {'OMIM:106300'}
MONDO:0007127 {'OMIM:106400'}
MONDO:0007128 {'OMIM:106500'}
MONDO:0007129 {'OMIM:106600'}
MONDO:0007130 {'OMIM:106700'}
MONDO:0007131 {'OMIM:106750'}
MONDO:0007132 {'OMIM:106900'}
MONDO:0007133 {'OMIM:106990'}
MONDO:0007134 {'OMIM:106995'}
MONDO:0007135 {'OMIM:107000'}
MONDO:0007136 {'OMIM:107100'}
MONDO:0007137 {'OMIM:107200'}
MONDO:0007138 {'OMIM:107250'}
MONDO:0007139 {'OMIM:107290'}
MONDO:0007141 {'OMIM:107440'}
MONDO:0007142 {'OMIM:107480'}
MONDO:0007143 {'OMIM:107500'}
MONDO:0007144 {'OMIM:107550'}
MONDO:0007145 {'OMIM:107600'}
MONDO:0007147 {'OMIM:107650'}
MONDO:0007148 {'OMIM:107700'}
MONDO:0007149 {'OMIM:107750'}
MONDO:0007150 {'OMIM:107800'}
MONDO:0007151 {'OMIM:107900'}
MONDO:0007152 {'OMIM:107970'}
MONDO:0007153 {'OMIM:108000'}
MONDO:0007154 {'OMIM:108010'}
MONDO:0007155 {'OMIM:108050'}
MONDO:0007156 {'OMIM:108100'}
MONDO:0007157 {'OMIM:108120'}
MONDO:0007158 {'OMIM:108145'}
MONDO:0007159 {'OMIM:108200'}
MONDO:0007160 {'OMIM:108300'}
MONDO:0007161 {'OMIM:108420'}
MONDO:0007162 {'OMIM:108450'}
MONDO:0007163 {'OMIM:108500'}
MONDO:0007164 {'OMIM:108600'}
MONDO:0007165 {'OMIM:108650'}
MONDO:0007166 {'OMIM:108700'}
MONDO:0007167 {'OMIM:108720'}
MONDO:0007168 {'OMIM:108721'}
MONDO:0007169 {'OMIM:108725'}
MONDO:0007170 {'OMIM:108760'}
MONDO:0007171 {'OMIM:108770'}
MONDO:0007172 {'OMIM:108800'}
MONDO:0007173 {'OMIM:108900'}
MONDO:0007174 {'OMIM:108950'}
MONDO:0007175 {'OMIM:108980'}
MONDO:0007176 {'OMIM:108985'}
MONDO:0007177 {'OMIM:109000'}
MONDO:0007178 {'OMIM:109050'}
MONDO:0007179 {'OMIM:109100'}
MONDO:0007180 {'OMIM:109120'}
MONDO:0007181 {'OMIM:109130'}
MONDO:0007182 {'OMIM:109150'}
MONDO:0007183 {'OMIM:109160'}
MONDO:0007184 {'OMIM:109200'}
MONDO:0007185 {'OMIM:109300'}
MONDO:0007186 {'OMIM:109350'}
MONDO:0007187 {'OMIM:109400'}
MONDO:0007188 {'OMIM:109500'}
MONDO:0007189 {'OMIM:109540'}
MONDO:0007190 {'OMIM:109543'}
MONDO:0007191 {'OMIM:109650'}
MONDO:0007192 {'OMIM:109660'}
MONDO:0007193 {'OMIM:109720'}
MONDO:0007194 {'OMIM:109730'}
MONDO:0007195 {'OMIM:109740'}
MONDO:0007197 {'OMIM:109820'}
MONDO:0007198 {'OMIM:109900'}
MONDO:0007199 {'OMIM:110000'}
MONDO:0007200 {'OMIM:110050'}
MONDO:0007201 {'OMIM:110100'}
MONDO:0007202 {'OMIM:110150'}
MONDO:0007203 {'OMIM:112200'}
MONDO:0007204 {'OMIM:112240'}
MONDO:0007205 {'OMIM:112250'}
MONDO:0007206 {'OMIM:112270'}
MONDO:0007207 {'OMIM:112300'}
MONDO:0007208 {'OMIM:112310'}
MONDO:0007209 {'OMIM:112350'}
MONDO:0007210 {'OMIM:112370'}
MONDO:0007211 {'OMIM:112410'}
MONDO:0007212 {'OMIM:112430'}
MONDO:0007213 {'OMIM:112440'}
MONDO:0007214 {'OMIM:112450'}
MONDO:0007215 {'OMIM:112500'}
MONDO:0007216 {'OMIM:112600'}
MONDO:0007217 {'OMIM:112700'}
MONDO:0007218 {'OMIM:112800'}
MONDO:0007219 {'OMIM:112910'}
MONDO:0007220 {'OMIM:113000'}
MONDO:0007221 {'OMIM:113100'}
MONDO:0007222 {'OMIM:113200'}
MONDO:0007223 {'OMIM:113300'}
MONDO:0007224 {'OMIM:113301'}
MONDO:0007225 {'OMIM:113310'}
MONDO:0007226 {'OMIM:113400'}
MONDO:0007227 {'OMIM:113450'}
MONDO:0007228 {'OMIM:113470'}
MONDO:0007229 {'OMIM:113475'}
MONDO:0007230 {'OMIM:113477'}
