#hgnc_id	hgnc_symbol	confidence_level	penetrance	pmid	omim_id	inheritance	panel_id	panel_name	panel_version	line_number
HGNC:15455	MBTPS2	3	Complete	22816986	208800	X-LINKED: hemizygous mutation in males, biallelic mutations in females	305	Familial cicatricial alopecia	1.5	58
HGNC:1033	BDNF	1	Complete	15657604	209880||164230||607499		262	Severe familial anorexia	1.3	657
HGNC:19191	DOCK8	3	Complete	-	614113	BIALLELIC, autosomal or pseudoautosomal	62	Severe multi-system atopic disease with high IgE	1.8	665
HGNC:391	AKT1	1	Complete	PMID: 23246288	181500		201	Genodermatoses with malignancies	1.10	1630
HGNC:3401	EPHX1	1	Complete	-	607748		131	IUGR and IGF abnormalities	1.58	1953
HGNC:9863	RAPSN	1	Complete	-	608931	BIALLELIC, autosomal or pseudoautosomal	131	IUGR and IGF abnormalities	1.58	1986
HGNC:9588	PTEN	1	Complete	-	608089||153480||188470||155600||276950		101	VACTERL-like phenotypes	1.34	3708
HGNC:7455	MT-ND1	0	Complete	-	272120	MITOCHONDRIAL	45	Sudden death in young people	1.15	4424
HGNC:2073	TPP1	3	-	-	607998	BIALLELIC, autosomal or pseudoautosomal	477	Ataxia and cerebellar anomalies - narrow panel	4.34	5100
HGNC:16268	PNPLA6	3	-	-	603197	BIALLELIC, autosomal or pseudoautosomal	477	Ataxia and cerebellar anomalies - narrow panel	4.34	5113
HGNC:26690	CEP120	3	Complete	-	220493	BIALLELIC, autosomal or pseudoautosomal	122	Thoracic dystrophies	1.18	5247
HGNC:26193	CSPP1	3	Complete	-	397715	BIALLELIC, autosomal or pseudoautosomal	122	Thoracic dystrophies	1.18	5271
HGNC:2962	DYNC2H1	3	Complete	-	263510	BIALLELIC, autosomal or pseudoautosomal	122	Thoracic dystrophies	1.18	5283
HGNC:9588	PTEN	3	Complete	20301661	153480	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	254	GI tract tumours	1.22	5557
HGNC:9122	PMS2	3	Complete	24362816	276300	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	254	GI tract tumours	1.22	5558
HGNC:7329	MSH6	3	Complete	24362816	276300	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	254	GI tract tumours	1.22	5560
HGNC:7325	MSH2	3	Complete	24362816	276300	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	254	GI tract tumours	1.22	5561
HGNC:14234	NSD1	3	Complete	-	601626	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	243	Childhood solid tumours	4.7	5610
HGNC:391	AKT1	1	Complete	PMID: 23246288	181500		243	Childhood solid tumours	4.7	5660
HGNC:4198	GCM2	3	-	29199197||29264504||31671402||14715834	146200	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	480	Familial hyperparathyroidism or hypocalciuric hypercalcaemia	3.3	5687
HGNC:15455	MBTPS2	3	-	22816986	208800	X-LINKED: hemizygous mutation in males, biallelic mutations in females	553	Ectodermal dysplasia	3.8	6147
HGNC:28396	TMEM67	0	-	28680603||26191240	310688	BIALLELIC, autosomal or pseudoautosomal	544	Cholestasis	3.1	6316
HGNC:29168	RPGRIP1L	0	-	28680603	216360	BIALLELIC, autosomal or pseudoautosomal	544	Cholestasis	3.1	6317
HGNC:12703	BEST1	1	Complete	-	608161	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	230	Bilateral congenital or childhood onset cataracts	4.3	7022
HGNC:3356	ENPP1	0	Complete	-	602475		152	Familial diabetes	1.67	7181
HGNC:6257	KCNJ11	3	Complete	-	606176	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	152	Familial diabetes	1.67	7228
HGNC:16268	PNPLA6	3	Complete	-	603197	BIALLELIC, autosomal or pseudoautosomal	20	Hereditary ataxia	1.331	7434
HGNC:4232	GDNF	1	Complete	-	209880||171300		97	Inherited phaeochromocytoma and paraganglioma	1.11	7524
