#hgnc_id	hgnc_symbol	confidence_level	penetrance	pmid	omim_id	inheritance	panel_id	panel_name	panel_version	line_number
HGNC:7436	MTHFR	3	Complete	27604308||21555636	-	BIALLELIC, autosomal or pseudoautosomal	109	Cerebral folate deficiency	1.2	2
HGNC:2861	DHFR	3	Complete	27604308	-	BIALLELIC, autosomal or pseudoautosomal	109	Cerebral folate deficiency	1.2	3
HGNC:3791	FOLR1	3	Complete	27328863||27604308||27743887	-	BIALLELIC, autosomal or pseudoautosomal	109	Cerebral folate deficiency	1.2	4
HGNC:30521	SLC46A1	3	Complete	27604308	-	BIALLELIC, autosomal or pseudoautosomal	109	Cerebral folate deficiency	1.2	5
HGNC:12363	TSC2	3	Complete	PMID: 17304050	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	197	Classical tuberous sclerosis	1.2	12
HGNC:12362	TSC1	3	Complete	PMID: 17304050	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	197	Classical tuberous sclerosis	1.2	13
HGNC:8747	PCSK5	1	Complete	18519639	-	Unknown	5	Currarino triad	1.1	16
HGNC:10848	SHH	1	Complete	7550324	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	5	Currarino triad	1.1	21
HGNC:4221	GDF6	1	Complete	3065353	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	5	Currarino triad	1.1	23
HGNC:397	ALAS2	3	Complete	PMID: 18760763	-	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	91	Erythropoietic protoporphyria, mild variant	1.2	27
HGNC:33499	ATRIP	2	-	36977412	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	158	Familial breast cancer	1.20	28
HGNC:11389	STK11	3	Complete	PMID: 11113065	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	158	Familial breast cancer	1.20	40
HGNC:9588	PTEN	3	Complete	PMID: 22252256	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	158	Familial breast cancer	1.20	41
HGNC:795	ATM	3	Incomplete	19781682	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	158	Familial breast cancer	1.20	53
HGNC:9069	PLEC	1	Complete	20301336	-	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	305	Familial cicatricial alopecia	1.5	56
HGNC:15455	MBTPS2	3	Complete	22816986	208800	X-LINKED: hemizygous mutation in males, biallelic mutations in females	305	Familial cicatricial alopecia	1.5	58
HGNC:1248	C2	1	Complete	6902670	-		305	Familial cicatricial alopecia	1.5	64
HGNC:6142	ITGA6	1	Complete	20301336	-	BIALLELIC, autosomal or pseudoautosomal	305	Familial cicatricial alopecia	1.5	65
HGNC:6158	ITGB4	1	Complete	20301336	-	BIALLELIC, autosomal or pseudoautosomal	305	Familial cicatricial alopecia	1.5	67
HGNC:1331	C5	1	Complete	1999552	-		305	Familial cicatricial alopecia	1.5	68
HGNC:9236	PPARG	1	Complete	19052558||19369934	-	Unknown	305	Familial cicatricial alopecia	1.5	77
HGNC:7530	MVK	3	Complete	28543715||26794421||26816331 (correction for PMID:26202976)	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	110	Familial disseminated superficial actinic porokeratosis	1.2	80
HGNC:7529	MVD	3	Complete	28777842||26816331 (correction for PMID:26202976)	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	110	Familial disseminated superficial actinic porokeratosis	1.2	81
HGNC:16860	SART3	2	Complete	15840095	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	110	Familial disseminated superficial actinic porokeratosis	1.2	82
HGNC:3631	FDPS	3	Complete	27422687||26816331 (correction for PMID:26202976)	-	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	110	Familial disseminated superficial actinic porokeratosis	1.2	83
