#hgnc_id	hgnc_symbol	confidence_level	penetrance	pmid	omim_id	inheritance	panel_id	panel_name	panel_version	line_number
HGNC:1774	CDK5	2	-	32097629||32273484	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	22
HGNC:22932	GMPPB	2	-	24780531||30257713||26310427	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	30
HGNC:15629	B3GNT2	1	-	23359570||23877401	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	31
HGNC:25812	SRD5A3	1	-	27480077||31638560	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	43
HGNC:11133	SNAP29	3	-	29051910||30793783	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	44
HGNC:6482	LAMA2	3	-	20207543||18406646	-	BIALLELIC, autosomal or pseudoautosomal	15	Lissencephaly and Band Heterotopia	1.15	52
HGNC:15853	ARFGEF2	3	-	26126837||25160555	-	BIALLELIC, autosomal or pseudoautosomal	19	Periventricular Grey Matter Heterotopia	1.2	144
HGNC:17582	KAT6B	2	Complete	32424177||23236640	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	19	Periventricular Grey Matter Heterotopia	1.2	145
HGNC:7728	NEDD4L	3	-	34087865||32117442	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	19	Periventricular Grey Matter Heterotopia	1.2	148
HGNC:25941	TET2	1	-	32330418||31943063	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	180
HGNC:6912	MATR3	2	-	33408686||30015619||28029397	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	181
HGNC:2295	CP	3	-	https://doi.org/10.1093/qjmed/89.5.355||28874056||28012953	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	182
HGNC:2475	CST3	2	-	22435454||2602413||8866434	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	196
HGNC:4177	GBA	2	-	23588557||31010158||32439597	-	Other	24	Early-onset Dementia	1.5	199
HGNC:2531	CTSF	3	-	PMID: 28749476||27668283||27524508	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	200
HGNC:5033	HNRNPA2B1	2	-	26744327||23635965||30279180||29358076	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	203
HGNC:11138	SNCA	3	-	26858591||32740728||32849182	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	206
HGNC:713	ARSA	3	-	15710861||29486463||26890752	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	210
HGNC:15559	CHCHD10	3	-	30877432||32369233||28069311||31690696	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	212
HGNC:4010	FUS	3	-	32770214||32941707	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	217
HGNC:12407	TUBA4A	2	-	28069311||26675813	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	222
HGNC:12509	UBQLN2	3	-	30348461||31319884||20301623	-	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	24	Early-onset Dementia	1.5	231
HGNC:7897	NPC1	3	-	20301473||11182931	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	232
HGNC:14537	NPC2	3	-	27792009||20525256	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	233
HGNC:9449	PRNP	3	-	27910931||19571725, 20301407||6351815	176640	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	234
HGNC:15894	PANK2	3	-	24600523||19480328||23447832	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	235
HGNC:9039	PLA2G6	3	-	26836416||25634434||22406380	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	236
HGNC:21576	NHLRC1	3	-	28556688||34117373	-	BIALLELIC, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	237
HGNC:11571	TARDBP	3	-	21803454||20301761	-	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	24	Early-onset Dementia	1.5	238
HGNC:9508	PSEN1	3	-	20301340||22503161	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	241
HGNC:9509	PSEN2	3	-	22503161||20301340||35491795||25323700	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	24	Early-onset Dementia	1.5	243
HGNC:11802	TIA1	2	-	36861178||29599744||29457785	-	Other	24	Early-onset Dementia	1.5	250
HGNC:12469	UBA1	1	-	32181232||26028276||23518311||31932168||27699224||29034082	-	X-LINKED: hemizygous mutation in males, biallelic mutations in females	25	Motor Neurone Disease	1.7	270
HGNC:15592	SS18L1	3	-	25888396||24360741||30976389||23708140	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	25	Motor Neurone Disease	1.7	281
HGNC:11547	TAF15	2	-	28889094||22065782||27810362||21438137	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	25	Motor Neurone Disease	1.7	282
HGNC:1237	UBQLN4	2	-	28463112||30804504	-	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	25	Motor Neurone Disease	1.7	283
HGNC:11179	SOD1	3	-	16503123||8625408||21545237	-	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	25	Motor Neurone Disease	1.7	284
